name,weekly_gross_gbp,annual_gross_gbp,adjusted_gross_gbp,position,age,country,club,season,league,verified,bonus_gross_gbp,signed,expiration,years,total_gross_gbp,release_gbp,status,position_detail,active
Jordan Obita,4808,250000,"£ 269,805",D,27,England,Wycombe,2020-2021,championship,,,,,,,,,,
Connor Ripley,4423,230000,"£ 248,221",K,27,England,Preston,2020-2021,championship,,,,,,,,,,
Ryan Tunnicliffe,4423,230000,"£ 248,221",M,27,England,Luton Town,2020-2021,championship,,,,,,,,,,
Ben Davies,4423,230000,"£ 248,221",D,25,England,Preston,2020-2021,championship,,,,,,,,,,
Sam Walker,4423,230000,"£ 248,221",K,29,England,Reading,2020-2021,championship,,,,,,,,,,
Callum Brittain,4423,230000,"£ 248,221",D,22,England,Barnsley,2020-2021,championship,,,,,,,,,,
Mads Juel Andersen,4423,230000,"£ 248,221",D,22,Denmark,Barnsley,2020-2021,championship,,,,,,,,,,
Ryan Nyambe,4423,230000,"£ 248,221",D,22,Namibia,Blackburn,2020-2021,championship,,,,,,,,,,
Joe Wildsmith,4423,230000,"£ 248,221",K,24,England,Sheffield Wednesday,2020-2021,championship,,,,,,,,,,
Macauley Bonne,4423,230000,"£ 248,221",F,24,Zimbabwe,QPR,2020-2021,championship,,,,,,,,,,
Mike Bahre,4423,230000,"£ 248,221",F,25,Germany,Barnsley,2020-2021,championship,,,,,,,,,,
Jamal Blackman,4423,230000,"£ 248,221",K,26,England,Rotherham,2020-2021,championship,,,,,,,,,,
Ryan Tafazolli,4231,220000,"£ 237,429",D,29,England,Wycombe,2020-2021,championship,,,,,,,,,,
James Bree,4231,220000,"£ 237,429",D,22,England,Luton Town,2020-2021,championship,,,,,,,,,,
Harry Souttar,4231,220000,"£ 237,429",D,21,Australia,Stoke City,2020-2021,championship,,,,,,,,,,
Matt Penney,4231,220000,"£ 237,429",D,22,England,Sheffield Wednesday,2020-2021,championship,,,,,,,,,,
Alfie Doughty,4231,220000,"£ 237,429",M,21,England,Stoke City,2020-2021,championship,,,,,,,,,,
Jordan Thompson,4231,220000,"£ 237,429",M,23,Northern Ireland,Stoke City,2020-2021,championship,,,,,,,,,,
Alex Vallejo,4231,220000,"£ 237,429",M,28,Spain,Huddersfield,2020-2021,championship,,,,,,,,,,
Patrick Schmidt,4038,210000,"£ 226,636",F,22,Austria,Barnsley,2020-2021,championship,,,,,,,,,,
Dan Barlaser,4038,210000,"£ 226,636",M,23,England,Rotherham,2020-2021,championship,,,,,,,,,,
Billy Jones,4038,210000,"£ 226,636",D,33,England,Rotherham,2020-2021,championship,,,,,,,,,,
Melvin Sitti,4038,210000,"£ 226,636",M,20,France,Norwich,2020-2021,championship,,,,,,,,,,
Jason McCarthy,4038,210000,"£ 226,636",D,24,England,Wycombe,2020-2021,championship,,,,,,,,,,
Conor Chaplin,4038,210000,"£ 226,636",F,23,England,Barnsley,2020-2021,championship,,,,,,,,,,
Herbie Kane,4038,210000,"£ 226,636",M,21,England,Barnsley,2020-2021,championship,,,,,,,,,,
Nikolas Ioannou,4038,210000,"£ 226,636",D,24,Cyprus,Nottingham Forest,2020-2021,championship,,,,,,,,,,
Joe Rafferty,4038,210000,"£ 226,636",D,27,Ireland,Preston,2020-2021,championship,,,,,,,,,,
George Thomas,4038,210000,"£ 226,636",F,23,Wales,QPR,2020-2021,championship,,,,,,,,,,
Liam Kelly,4038,210000,"£ 226,636",K,24,Scotland,QPR,2020-2021,championship,,,,,,,,,,
Matt Godden,4038,210000,"£ 226,636",F,29,England,Coventry,2020-2021,championship,,,,,,,,,,
Seny Dieng,4038,210000,"£ 226,636",K,25,Senegal,QPR,2020-2021,championship,,,,,,,,,,
Leo Ostigard,4038,210000,"£ 226,636",D,20,Norway,Coventry,2020-2021,championship,,,,,,,,,,
Julien Da Costa,4038,210000,"£ 226,636",D,24,France,Coventry,2020-2021,championship,,,,,,,,,,
Tommy Rowe,4038,210000,"£ 226,636",M,32,England,Bristol,2020-2021,championship,,,,,,,,,,
Joe Day,4038,210000,"£ 226,636",K,30,England,Cardiff,2020-2021,championship,,,,,,,,,,
Mickel Miller,4038,210000,"£ 226,636",F,24,England,Rotherham,2020-2021,championship,,,,,,,,,,
Jamie Allen,4038,210000,"£ 226,636",M,25,England,Coventry,2020-2021,championship,,,,,,,,,,
Ben Pearson,4000,208000,"£ 224,478",M,25,England,Preston,2020-2021,championship,,,,,,,,,,
Joe Rothwell,4000,208000,"£ 224,478",M,25,England,Blackburn,2020-2021,championship,,,,,,,,,,
Eunan O'Kane,3846,200000,"£ 215,844",M,30,Ireland,Luton Town,2020-2021,championship,,,,,,,,,,
Michal Helik,3846,200000,"£ 215,844",D,25,Poland,Barnsley,2020-2021,championship,,,,,,,,,,
Alfa Semedo,3654,190000,"£ 205,052",M,23,Guinea-Bissau,Reading,2020-2021,championship,,,,,,,,,,
James Shea,3462,180000,"£ 194,260",K,29,England,Luton Town,2020-2021,championship,,,,,,,,,,
Jack Simpson,3462,180000,"£ 194,260",D,23,England,Bournemouth,2020-2021,championship,,,,,,,,,,
Djed Spence,3462,180000,"£ 194,260",D,20,England,Middlesbrough,2020-2021,championship,,,,,,,,,,
Conor Masterson,3462,180000,"£ 194,260",D,22,Ireland,QPR,2020-2021,championship,,,,,,,,,,
Aynsley Pears,3462,180000,"£ 194,260",K,22,England,Blackburn,2020-2021,championship,,,,,,,,,,
Viktor Gyokeres,3462,180000,"£ 194,260",F,22,Sweden,Coventry,2020-2021,championship,,,,,,,,,,
Michael Smith,3462,180000,"£ 194,260",F,29,England,Rotherham,2020-2021,championship,,,,,,,,,,
Richard Wood,3462,180000,"£ 194,260",D,35,England,Rotherham,2020-2021,championship,,,,,,,,,,
Ellery Balcombe,3462,180000,"£ 194,260",K,21,England,Brentford,2020-2021,championship,,,,,,,,,,
Danny Hylton,3462,180000,"£ 194,260",F,31,England,Luton Town,2020-2021,championship,,,,,,,,,,
Shaun MacDonald,3462,180000,"£ 194,260",M,32,Wales,Rotherham,2020-2021,championship,,,,,,,,,,
Lewis Travis,3462,180000,"£ 194,260",M,23,England,Blackburn,2020-2021,championship,,,,,,,,,,
Alex Mighten,3462,180000,"£ 194,260",F,18,England,Nottingham Forest,2020-2021,championship,,,,,,,,,,
Jack Walton,3462,180000,"£ 194,260",K,22,England,Barnsley,2020-2021,championship,,,,,,,,,,
Sonny Bradley,3462,180000,"£ 194,260",D,29,England,Luton Town,2020-2021,championship,,,,,,,,,,
Osman Kakay,3462,180000,"£ 194,260",D,23,Sierra Leone,QPR,2020-2021,championship,,,,,,,,,,
Fred Onyedinma,3462,180000,"£ 194,260",M,23,Nigeria,Wycombe,2020-2021,championship,,,,,,,,,,
Joe Mattock,3462,180000,"£ 194,260",D,30,England,Rotherham,2020-2021,championship,,,,,,,,,,
Viktor Gyokeres,3462,180000,"£ 194,260",F,22,Sweden,Swansea,2020-2021,championship,,,,,,,,,,
Thibaud Verlinden,3462,180000,"£ 194,260",F,21,Belgium,Stoke City,2020-2021,championship,,,,,,,,,,
Steven Sessegnon,3462,180000,"£ 194,260",D,20,England,Bristol,2020-2021,championship,,,,,,,,,,
Josh Koroma,3462,180000,"£ 194,260",F,21,England,Huddersfield,2020-2021,championship,,,,,,,,,,
James Collins,3462,180000,"£ 194,260",F,29,Ireland,Luton Town,2020-2021,championship,,,,,,,,,,
Daniel Bachmann,3269,170000,"£ 183,467",K,26,Austria,Watford,2020-2021,championship,,,,,,,,,,
Dan Potts,3269,170000,"£ 183,467",D,26,England,Luton Town,2020-2021,championship,,,,,,,,,,
Mads Bech Sorensen,3269,170000,"£ 183,467",D,21,Denmark,Brentford,2020-2021,championship,,,,,,,,,,
George Moncur,3269,170000,"£ 183,467",M,27,England,Luton Town,2020-2021,championship,,,,,,,,,,
Daryl Dike,3269,170000,"£ 183,467",F,20,United States,Barnsley,2020-2021,championship,,,,,,,,,,
Glen Rea,3269,170000,"£ 183,467",M,26,Ireland,Luton Town,2020-2021,championship,,,,,,,,,,
Angus MacDonald,3269,170000,"£ 183,467",D,28,England,Rotherham,2020-2021,championship,,,,,,,,,,
Josh Laurent,3269,170000,"£ 183,467",M,25,England,Reading,2020-2021,championship,,,,,,,,,,
Matty Pearson,3269,170000,"£ 183,467",D,27,England,Luton Town,2020-2021,championship,,,,,,,,,,
Kazenga LuaLua,3077,160000,"£ 172,675",F,29,Democratic Republic of the Congo,Luton Town,2020-2021,championship,,,,,,,,,,
Taylor Moore,3077,160000,"£ 172,675",D,23,England,Bristol,2020-2021,championship,,,,,,,,,,
Amari'i Bell,3077,160000,"£ 172,675",D,26,Jamaica,Blackburn,2020-2021,championship,,,,,,,,,,
Max Bird,3077,160000,"£ 172,675",M,20,England,Derby County,2020-2021,championship,,,,,,,,,,
Joel Pereira,3077,160000,"£ 172,675",K,24,Portugal,Huddersfield,2020-2021,championship,,,,,,,,,,
Demeaco Duhaney,3077,160000,"£ 172,675",D,22,England,Huddersfield,2020-2021,championship,,,,,,,,,,
Kyle McFadzean,3077,160000,"£ 172,675",D,33,England,Coventry,2020-2021,championship,,,,,,,,,,
Harry Cornick,3077,160000,"£ 172,675",F,25,England,Luton Town,2020-2021,championship,,,,,,,,,,
Elliot Lee,3077,160000,"£ 172,675",F,25,England,Luton Town,2020-2021,championship,,,,,,,,,,
Tyreeq Bakinson,3077,160000,"£ 172,675",M,22,England,Bristol,2020-2021,championship,,,,,,,,,,
Zak Vyner,3077,160000,"£ 172,675",D,23,England,Bristol,2020-2021,championship,,,,,,,,,,
Uche Ikpeazu,3077,160000,"£ 172,675",F,25,Uganda,Wycombe,2020-2021,championship,,,,,,,,,,
Kiernan Dewsbury-Hall,3077,160000,"£ 172,675",M,22,England,Luton Town,2020-2021,championship,,,,,,,,,,
Pelly-Ruddock Mpanzu,3077,160000,"£ 172,675",M,26,England,Luton Town,2020-2021,championship,,,,,,,,,,
Luke Berry,3077,160000,"£ 172,675",M,28,England,Luton Town,2020-2021,championship,,,,,,,,,,
Hayden Coulson,3077,160000,"£ 172,675",D,22,England,Middlesbrough,2020-2021,championship,,,,,,,,,,
Jan Zamburek,3077,160000,"£ 172,675",M,19,Czech Republic,Brentford,2020-2021,championship,,,,,,,,,,
Jordan Williams,3077,160000,"£ 172,675",D,20,England,Barnsley,2020-2021,championship,,,,,,,,,,
Freddie Ladapo,3077,160000,"£ 172,675",F,27,England,Rotherham,2020-2021,championship,,,,,,,,,,
Josh Earl,3077,160000,"£ 172,675",D,21,England,Preston,2020-2021,championship,,,,,,,,,,
Jordan Storey,3077,160000,"£ 172,675",D,23,England,Preston,2020-2021,championship,,,,,,,,,,
Kyle Vassell,3000,156000,"£ 168,358",F,28,Northern Ireland,Rotherham,2020-2021,championship,,,,,,,,,,
Toby Sibbick,3000,156000,"£ 168,358",D,21,England,Barnsley,2020-2021,championship,,,,,,,,,,
Josh Reid,2885,150000,"£ 161,883",D,18,Scotland,Coventry,2020-2021,championship,,,,,,,,,,
Liam Kitching,2885,150000,"£ 161,883",D,21,England,Barnsley,2020-2021,championship,,,,,,,,,,
Jayson Leutwiler,2885,150000,"£ 161,883",K,31,Canada,Huddersfield,2020-2021,championship,,,,,,,,,,
Max Watters,2885,150000,"£ 161,883",F,21,England,Cardiff,2020-2021,championship,,,,,,,,,,
Michael Ihiekwe,2692,140000,"£ 151,091",D,27,England,Rotherham,2020-2021,championship,,,,,,,,,,
Jaden Brown,2692,140000,"£ 151,091",D,21,England,Huddersfield,2020-2021,championship,,,,,,,,,,
Morgan Whittaker,2692,140000,"£ 151,091",F,19,England,Derby County,2020-2021,championship,,,,,,,,,,
Tom McIntyre,2692,140000,"£ 151,091",D,21,Scotland,Reading,2020-2021,championship,,,,,,,,,,
Clark Robertson,2692,140000,"£ 151,091",D,27,Scotland,Rotherham,2020-2021,championship,,,,,,,,,,
Josh Vickers,2692,140000,"£ 151,091",K,25,England,Rotherham,2020-2021,championship,,,,,,,,,,
Rodrigo Riquelme,2692,140000,"£ 151,091",F,20,Spain,Bournemouth,2020-2021,championship,,,,,,,,,,
Morgan Whittaker,2692,140000,"£ 151,091",F,20,England,Swansea,2020-2021,championship,,,,,,,,,,
Ben Wiles,2500,130000,"£ 140,299",M,21,England,Rotherham,2020-2021,championship,,,,,,,,,,
Callum Styles,2500,130000,"£ 140,299",F,20,England,Barnsley,2020-2021,championship,,,,,,,,,,
Carlton Morris,2500,130000,"£ 140,299",F,25,England,Barnsley,2020-2021,championship,,,,,,,,,,
Jordan Smith,2500,130000,"£ 140,299",K,25,England,Nottingham Forest,2020-2021,championship,,,,,,,,,,
Harry Chapman,2500,130000,"£ 140,299",F,22,England,Blackburn,2020-2021,championship,,,,,,,,,,
Kyle Taylor,2500,130000,"£ 140,299",M,21,England,Bournemouth,2020-2021,championship,,,,,,,,,,
Antonis Stergiakis,2500,130000,"£ 140,299",K,21,Greece,Blackburn,2020-2021,championship,,,,,,,,,,
Marc Bola,2500,130000,"£ 140,299",D,22,England,Middlesbrough,2020-2021,championship,,,,,,,,,,
Liam Cullen,2500,130000,"£ 140,299",F,21,Wales,Swansea,2020-2021,championship,,,,,,,,,,
Joe Jacobson,2500,130000,"£ 140,299",D,33,Wales,Wycombe,2020-2021,championship,,,,,,,,,,
Marko Marosi,2500,130000,"£ 140,299",K,26,Slovakia,Coventry,2020-2021,championship,,,,,,,,,,
David Wheeler,2500,130000,"£ 140,299",M,30,England,Wycombe,2020-2021,championship,,,,,,,,,,
Amadou Bakayoko,2500,130000,"£ 140,299",F,24,Sierra Leone,Coventry,2020-2021,championship,,,,,,,,,,
Tennai Watson,2500,130000,"£ 140,299",D,23,England,Reading,2020-2021,championship,,,,,,,,,,
Antoine Semenyo,2500,130000,"£ 140,299",F,20,England,Bristol,2020-2021,championship,,,,,,,,,,
Marcel Hilssner,2500,130000,"£ 140,299",F,25,Germany,Coventry,2020-2021,championship,,,,,,,,,,
Liam Kelly,2500,130000,"£ 140,299",M,30,Scotland,Coventry,2020-2021,championship,,,,,,,,,,
Jordi Osei-Tutu,2500,130000,"£ 140,299",D,22,England,Cardiff,2020-2021,championship,,,,,,,,,,
Isaac Christie-Davies,2500,130000,"£ 140,299",F,23,Wales,Barnsley,2020-2021,championship,,,,,,,,,,
Ben Williams,2500,130000,"£ 140,299",D,21,Wales,Barnsley,2020-2021,championship,,,,,,,,,,
Bali Mumba,2308,120000,"£ 129,506",D,19,England,Norwich,2020-2021,championship,,,,,,,,,,
Jeremy Ngakia,2308,120000,"£ 129,506",D,20,England,Watford,2020-2021,championship,,,,,,,,,,
Josh Martin,2308,120000,"£ 129,506",F,19,England,Norwich,2020-2021,championship,,,,,,,,,,
Jordan Clark,2308,120000,"£ 129,506",F,27,England,Luton Town,2020-2021,championship,,,,,,,,,,
Lee Camp,2308,120000,"£ 129,506",K,36,Northern Ireland,Coventry,2020-2021,championship,,,,,,,,,,
Kal Naismith,2308,120000,"£ 129,506",F,28,Scotland,Luton Town,2020-2021,championship,,,,,,,,,,
Omar Richards,2115,110000,"£ 118,714",D,22,England,Reading,2020-2021,championship,,,,,,,,,,
Michael Olise,2115,110000,"£ 118,714",F,19,France,Reading,2020-2021,championship,,,,,,,,,,
Josh Dacres-Cogley,2115,110000,"£ 118,714",D,24,England,Birmingham,2020-2021,championship,,,,,,,,,,
Jordan Zemura,2000,104000,"£ 112,239",D,21,Zimbabwe,Bournemouth,2020-2021,championship,,,,,,,,,,
Will Dennis,2000,104000,"£ 112,239",K,20,England,Bournemouth,2020-2021,championship,,,,,,,,,,
George Miller,1923,100000,"£ 107,922",F,22,England,Barnsley,2020-2021,championship,,,,,,,,,,
Gervane Kastaneer,1923,100000,"£ 107,922",F,24,Curacao,Coventry,2020-2021,championship,,,,,,,,,,
Max O'Leary,1923,100000,"£ 107,922",K,24,England,Bristol,2020-2021,championship,,,,,,,,,,
David Stockdale,1923,100000,"£ 107,922",K,35,England,Wycombe,2020-2021,championship,,,,,,,,,,
Jamie Lindsay,1923,100000,"£ 107,922",M,25,Scotland,Rotherham,2020-2021,championship,,,,,,,,,,
Adam Thompson,1923,100000,"£ 107,922",D,28,Northern Ireland,Rotherham,2020-2021,championship,,,,,,,,,,
Ryan Giles,1923,100000,"£ 107,922",M,21,England,Rotherham,2020-2021,championship,,,,,,,,,,
Josh Knight,1923,100000,"£ 107,922",D,23,England,Wycombe,2020-2021,championship,,,,,,,,,,
Ryan Giles,1923,100000,"£ 107,922",M,20,England,Coventry,2020-2021,championship,,,,,,,,,,
Maxime Biamou,1923,100000,"£ 107,922",F,29,France,Coventry,2020-2021,championship,,,,,,,,,,
Matt Crooks,1923,100000,"£ 107,922",M,26,England,Rotherham,2020-2021,championship,,,,,,,,,,
Yan Valery,1923,100000,"£ 107,922",D,21,France,Birmingham,2020-2021,championship,,,,,,,,,,
Josh Pask,1923,100000,"£ 107,922",D,22,England,Coventry,2020-2021,championship,,,,,,,,,,
Dion Pereira,1923,100000,"£ 107,922",F,21,England,Luton Town,2020-2021,championship,,,,,,,,,,
Dominic Gape,1923,100000,"£ 107,922",M,26,England,Wycombe,2020-2021,championship,,,,,,,,,,
Clarke Oduor,1923,100000,"£ 107,922",D,21,Kenya,Barnsley,2020-2021,championship,,,,,,,,,,
Kieran Sadlier,1731,90000,"£ 97,130",F,26,Ireland,Rotherham,2020-2021,championship,,,,,,,,,,
Riley McGree,1731,90000,"£ 97,130",M,21,Australia,Birmingham,2020-2021,championship,,,,,,,,,,
Nick Freeman,1731,90000,"£ 97,130",M,24,England,Wycombe,2020-2021,championship,,,,,,,,,,
Joel Latibeaudiere,1731,90000,"£ 97,130",D,20,England,Swansea,2020-2021,championship,,,,,,,,,,
Jordan Shipley,1731,90000,"£ 97,130",M,23,Ireland,Coventry,2020-2021,championship,,,,,,,,,,
Matthew Olosunde,1731,90000,"£ 97,130",D,22,United States,Rotherham,2020-2021,championship,,,,,,,,,,
Scott Kashket,1731,90000,"£ 97,130",F,24,England,Wycombe,2020-2021,championship,,,,,,,,,,
Jack Grimmer,1731,90000,"£ 97,130",D,26,Scotland,Wycombe,2020-2021,championship,,,,,,,,,,
Alex Samuel,1731,90000,"£ 97,130",F,25,Wales,Wycombe,2020-2021,championship,,,,,,,,,,
Coniah Boyce-Clarke,1731,90000,"£ 97,130",K,17,England,Reading,2020-2021,championship,,,,,,,,,,
Charlie Owens,1731,90000,"£ 97,130",M,22,Northern Ireland,QPR,2020-2021,championship,,,,,,,,,,
Jodi Jones,1731,90000,"£ 97,130",F,22,England,Coventry,2020-2021,championship,,,,,,,,,,
Jordan Morris,1538,80000,"£ 86,338",F,26,United States,Swansea,2020-2021,championship,,,,,,,,,,
Sebastian Soto,1538,80000,"£ 86,338",F,20,United States,Norwich,2020-2021,championship,,,,,,,,,,
Aston Oxborough,1538,80000,"£ 86,338",K,22,England,Norwich,2020-2021,championship,,,,,,,,,,
Matt Bloomfield,1538,80000,"£ 86,338",M,36,England,Wycombe,2020-2021,championship,,,,,,,,,,
Darius Charles,1538,80000,"£ 86,338",D,32,England,Wycombe,2020-2021,championship,,,,,,,,,,
Louie Sibley,1538,80000,"£ 86,338",F,19,England,Derby County,2020-2021,championship,,,,,,,,,,
Nathan Wood,1538,80000,"£ 86,338",D,18,England,Middlesbrough,2020-2021,championship,,,,,,,,,,
Daniel Barden,1538,80000,"£ 86,338",K,20,Wales,Norwich,2020-2021,championship,,,,,,,,,,
Dominic Hyam,1538,80000,"£ 86,338",D,24,Scotland,Coventry,2020-2021,championship,,,,,,,,,,
Ched Evans,1538,80000,"£ 86,338",F,32,Wales,Preston,2020-2021,championship,,,,,,,,,,
Scott Wharton,1538,80000,"£ 86,338",D,23,England,Blackburn,2020-2021,championship,,,,,,,,,,
Anthony Stewart,1538,80000,"£ 86,338",D,28,England,Wycombe,2020-2021,championship,,,,,,,,,,
Viktor Johansson,1538,80000,"£ 86,338",K,22,Sweden,Rotherham,2020-2021,championship,,,,,,,,,,
Michael Rose,1538,80000,"£ 86,338",D,25,Scotland,Coventry,2020-2021,championship,,,,,,,,,,
Fisayo Dele-Bashiru,1538,80000,"£ 86,338",M,19,Nigeria,Sheffield Wednesday,2020-2021,championship,,,,,,,,,,
Chiedozie Ogbene,1538,80000,"£ 86,338",F,23,Ireland,Rotherham,2020-2021,championship,,,,,,,,,,
Fankaty Dabo,1538,80000,"£ 86,338",D,25,England,Coventry,2020-2021,championship,,,,,,,,,,
Ryan Allsop,1538,80000,"£ 86,338",K,28,England,Wycombe,2020-2021,championship,,,,,,,,,,
Dominic Thompson,1538,80000,"£ 86,338",D,20,England,Brentford,2020-2021,championship,,,,,,,,,,
Admiral Muskwe,1346,70000,"£ 75,545",F,22,Zimbabwe,Wycombe,2020-2021,championship,,,,,,,,,,
Curtis Thompson,1346,70000,"£ 75,545",M,26,England,Wycombe,2020-2021,championship,,,,,,,,,,
Victor Adeboyejo,1346,70000,"£ 75,545",F,22,Nigeria,Barnsley,2020-2021,championship,,,,,,,,,,
Tomas Esteves,1346,70000,"£ 75,545",D,18,Portugal,Reading,2020-2021,championship,,,,,,,,,,
Osaze Urhoghide,1154,60000,"£ 64,753",D,20,England,Sheffield Wednesday,2020-2021,championship,,,,,,,,,,
Ody Alfa,1154,60000,"£ 64,753",F,21,Nigeria,QPR,2020-2021,championship,,,,,,,,,,
Ryan Schofield,1154,60000,"£ 64,753",K,20,England,Huddersfield,2020-2021,championship,,,,,,,,,,
Trevor Clarke,1154,60000,"£ 64,753",M,22,Ireland,Rotherham,2020-2021,championship,,,,,,,,,,
Joe Walsh,1154,60000,"£ 64,753",K,18,England,QPR,2020-2021,championship,,,,,,,,,,
Rarmani Edmonds-Green,1154,60000,"£ 64,753",D,21,England,Huddersfield,2020-2021,championship,,,,,,,,,,
Faysal Bettache,1154,60000,"£ 64,753",F,20,England,QPR,2020-2021,championship,,,,,,,,,,
Wesley Jobello,1154,60000,"£ 64,753",M,26,Martinique,Coventry,2020-2021,championship,,,,,,,,,,
Josh Parker,1154,60000,"£ 64,753",F,29,Antigua and Barbuda,Wycombe,2020-2021,championship,,,,,,,,,,
Carel Eiting,1154,60000,"£ 64,753",M,22,Netherlands,Huddersfield,2020-2021,championship,,,,,,,,,,
Steven Benda,1154,60000,"£ 64,753",K,22,Germany,Swansea,2020-2021,championship,,,,,,,,,,
Alex Pattison,1154,60000,"£ 64,753",M,23,England,Wycombe,2020-2021,championship,,,,,,,,,,
Lee Buchanan,1000,52000,"£ 56,119",D,19,England,Derby County,2020-2021,championship,,,,,,,,,,
Jaidon Anthony,1000,52000,"£ 56,119",F,21,England,Bournemouth,2020-2021,championship,,,,,,,,,,
Connal Trueman,1000,52000,"£ 56,119",K,24,England,Birmingham,2020-2021,championship,,,,,,,,,,
Curtis Anderson,962,50000,"£ 53,961",K,20,England,Wycombe,2020-2021,championship,,,,,,,,,,
Ryan East,962,50000,"£ 53,961",M,22,England,Reading,2020-2021,championship,,,,,,,,,,
Ben Wilson,962,50000,"£ 53,961",K,28,England,Coventry,2020-2021,championship,,,,,,,,,,
Tom Sang,962,50000,"£ 53,961",M,21,England,Cardiff,2020-2021,championship,,,,,,,,,,
Mark Harris,962,50000,"£ 53,961",F,22,Wales,Cardiff,2020-2021,championship,,,,,,,,,,
Joel Bagan,962,50000,"£ 53,961",D,19,England,Cardiff,2020-2021,championship,,,,,,,,,,
Zac Smith,962,50000,"£ 53,961",M,20,England,Bristol,2020-2021,championship,,,,,,,,,,
Rene Gilmartin,962,50000,"£ 53,961",K,33,Ireland,Bristol,2020-2021,championship,,,,,,,,,,
Blondy Nna Noukeu,962,50000,"£ 53,961",K,19,Cameroon,Stoke City,2020-2021,championship,,,,,,,,,,
Sam McCallum,962,50000,"£ 53,961",D,20,England,Coventry,2020-2021,championship,,,,,,,,,,
Rabbi Matondo,962,50000,"£ 53,961",F,20,Wales,Stoke City,2020-2021,championship,,,,,,,,,,
John Buckley,962,50000,"£ 53,961",M,21,England,Blackburn,2020-2021,championship,,,,,,,,,,
Ben Cabango,962,50000,"£ 53,961",D,20,Wales,Swansea,2020-2021,championship,,,,,,,,,,
Joe Rankin-Costello,962,50000,"£ 53,961",D,21,England,Blackburn,2020-2021,championship,,,,,,,,,,
Teden Mengi,962,50000,"£ 53,961",D,18,England,Derby County,2020-2021,championship,,,,,,,,,,
Matty Daly,962,50000,"£ 53,961",F,19,England,Huddersfield,2020-2021,championship,,,,,,,,,,
Elliot Simoes,962,50000,"£ 53,961",F,20,Angola,Barnsley,2020-2021,championship,,,,,,,,,,
Dennis Adeniran,962,50000,"£ 53,961",M,21,England,Wycombe,2020-2021,championship,,,,,,,,,,
Giles Phillips,962,50000,"£ 53,961",D,23,United States,Wycombe,2020-2021,championship,,,,,,,,,,
James Brown,962,50000,"£ 53,961",D,22,England,Millwall,2020-2021,championship,,,,,,,,,,
Sol Brynn,962,50000,"£ 53,961",K,19,England,Middlesbrough,2020-2021,championship,,,,,,,,,,
Matty Wolfe,769,40000,"£ 43,169",M,20,England,Barnsley,2020-2021,championship,,,,,,,,,,
Nnamdi Ofoborh,769,40000,"£ 43,169",M,20,Nigeria,Bournemouth,2020-2021,championship,,,,,,,,,,
Romoney Crichlow,769,40000,"£ 43,169",D,21,England,Huddersfield,2020-2021,championship,,,,,,,,,,
Joe Wollacott,769,40000,"£ 43,169",K,24,England,Bristol,2020-2021,championship,,,,,,,,,,
Sorba Thomas,769,40000,"£ 43,169",F,21,England,Huddersfield,2020-2021,championship,,,,,,,,,,
Cameron Pring,769,40000,"£ 43,169",D,23,England,Bristol,2020-2021,championship,,,,,,,,,,
Anis Mehmeti,769,40000,"£ 43,169",F,20,Albania,Wycombe,2020-2021,championship,,,,,,,,,,
Ciaron Brown,769,40000,"£ 43,169",D,23,Northern Ireland,Cardiff,2020-2021,championship,,,,,,,,,,
Jordan Brown,769,40000,"£ 43,169",D,19,England,Derby County,2020-2021,championship,,,,,,,,,,
Keyendrah Simmonds,769,40000,"£ 43,169",F,19,England,Birmingham,2020-2021,championship,,,,,,,,,,
Jeriel Dorsett,769,40000,"£ 43,169",D,18,England,Reading,2020-2021,championship,,,,,,,,,,
Nnamdi Ofoborh,769,40000,"£ 43,169",M,21,Nigeria,Wycombe,2020-2021,championship,,,,,,,,,,
Emmanuel Idem,769,40000,"£ 43,169",K,21,England,Derby County,2020-2021,championship,,,,,,,,,,
Caolan Boyd-Munce,769,40000,"£ 43,169",F,20,Northern Ireland,Birmingham,2020-2021,championship,,,,,,,,,,
Mathew Hudson,769,40000,"£ 43,169",K,22,England,Preston,2020-2021,championship,,,,,,,,,,
Korede Adedoyin,769,40000,"£ 43,169",F,19,Nigeria,Sheffield Wednesday,2020-2021,championship,,,,,,,,,,
Jordan Archer,769,40000,"£ 43,169",K,27,Scotland,Middlesbrough,2020-2021,championship,,,,,,,,,,
Gavin Kilkenny,769,40000,"£ 43,169",M,20,Ireland,Bournemouth,2020-2021,championship,,,,,,,,,,
Romal Palmer,769,40000,"£ 43,169",M,22,England,Barnsley,2020-2021,championship,,,,,,,,,,
Alex Hunt,769,40000,"£ 43,169",M,20,England,Sheffield Wednesday,2020-2021,championship,,,,,,,,,,
Thomas Holmes,769,40000,"£ 43,169",D,20,England,Reading,2020-2021,championship,,,,,,,,,,
Adam O'Reilly,769,40000,"£ 43,169",M,19,Ireland,Preston,2020-2021,championship,,,,,,,,,,
Luke Southwood,769,40000,"£ 43,169",K,22,England,Reading,2020-2021,championship,,,,,,,,,,
Tivonge Rushesha,577,30000,"£ 32,377",D,18,Wales,Swansea,2020-2021,championship,,,,,,,,,,
Jacob Gratton,577,30000,"£ 32,377",F,18,England,Rotherham,2020-2021,championship,,,,,,,,,,
Adam Parkes,577,30000,"£ 32,377",K,20,England,Watford,2020-2021,championship,,,,,,,,,,
